2, local_branching, hard_fixing
Instance_0, 24235.515002, 23440.945659  
Instance_1, 23608.627874, 23269.575750  
Instance_2, 23700.385728, 23410.667792  
Instance_3, 23429.756212, 23063.590648  
Instance_4, 23440.792780, 22892.474167  
Instance_5, 23107.194318, 22872.690326  
Instance_6, 23199.972858, 23089.859279  
Instance_7, 24291.349397, 23287.898071  
Instance_8, 23360.541335, 23137.417372  
Instance_9, 23091.302543, 22980.308536  
